settlement_point,sp_type,lat,lon,match_method,match_confidence,matched_plant,matched_capacity_mw,station_description,owner_re,expected_mw,capacity_ratio,load_zone
BOSQ_BSQS_12,OTHER,31.8594,-97.3586,fuzzy_lmp,1.0,Thad Hill Energy Center,807.0,,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,0.0,,north
BOSQ_BSQS_34,OTHER,31.8594,-97.3586,fuzzy_lmp,1.0,Thad Hill Energy Center,807.0,,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,0.0,,north
BRANDON_RN,RN,33.585257,-101.886093,fuzzy_name,1.0,Brandon Station,21.0,,,0.0,,west
BRAUNIG_CC1,PCCRN,29.2567,-98.3825,station_description,1.0,V H Braunig,1138.0,BRAUNIG,CPS ENERGY,1745.0,1.533,south
BRAUNIG_VHB1,OTHER,29.2567,-98.3825,lmp_node_designation,1.0,V H Braunig,1138.0,BRAUNIG,CPS ENERGY,225.0,0.198,south
BRAUNIG_VHB2,OTHER,29.2567,-98.3825,lmp_node_designation,1.0,V H Braunig,1138.0,BRAUNIG,CPS ENERGY,240.0,0.211,south
BRAUNIG_VHB3,OTHER,29.2567,-98.3825,lmp_node_designation,1.0,V H Braunig,1138.0,BRAUNIG,CPS ENERGY,420.0,0.369,south
BRAZ_WND_ALL,OTHER,32.93893,-101.31597,gridstatus,1.0,Brazos Wind Farm,182.4,GREEN MOUNTAIN ENERGY WIND FARM AT BRAZOS,BRAZOS WIND VENTURES LLC | LUMINANT ENERGY COMPANY LLC,182.0,0.998,west
BRA_AVR1_CT2,OTHER,29.257046,-98.384045,lmp_node_designation,1.0,Arthur Von Rosenberg,575.0,BRAUNIG,CPS ENERGY,189.0,0.329,south
BRA_AVR_CST1,OTHER,29.257046,-98.384045,lmp_node_designation,1.0,Arthur Von Rosenberg,575.0,BRAUNIG,CPS ENERGY,411.0,0.715,south
BRHEIGHT_RN,RN,29.389595,-94.949867,manual,1.0,Heights,0.0,,BRP INTERMEDIATECO I LLC | ENGIE ENERGY MARKETING NA INC,0.0,,houston
BRIGHTSD_U1,OTHER,28.430988,-97.889555,station_description,1.0,Brightside,50.7,BRIGHTSIDE SOLAR,BRIGHTSIDE SOLAR LLC | LUMINANT ENERGY COMPANY LLC,53.0,1.045,south
BRISCOE_WIND,OTHER,34.432267,-101.237233,owner_name,1.0,Briscoe Wind Farm,150.0,,BRISCOE WIND FARM LLC,0.0,,west
BRPANGLE_RN,RN,29.16801,-95.445062,manual,1.0,Gambit Energy Storage - Angleton Storage,100.0,,BRP INTERMEDIATECO I LLC | ENGIE ENERGY MARKETING NA INC,0.0,,houston
BRPMAGNO_RN,RN,29.488335,-95.133947,manual,1.0,Magnolia TX,0.0,,BRP INTERMEDIATECO I LLC | ENGIE ENERGY MARKETING NA INC,0.0,,houston
BRP_BRAZ_RN,RN,29.062635,-95.577587,fuzzy_name,1.0,Brazoria,9.9,,BRP INTERMEDIATECO I LLC | ENGIE ENERGY MARKETING NA INC,0.0,,houston
BRP_DIKN_RN,RN,29.461255,-95.056987,manual,1.0,Dickinson,9.9,,BRP INTERMEDIATECO I LLC | ENGIE ENERGY MARKETING NA INC,0.0,,houston
BRP_LOOP_RN,RN,28.816475,-97.07487,manual,1.0,,0.0,,BRP INTERMEDIATECO I LLC | ENGIE ENERGY MARKETING NA INC,0.0,,south
BRP_LOP1_RN,RN,26.687614,-99.109418,fuzzy_name,1.0,Lopeno,9.9,,BRP INTERMEDIATECO I LLC | ENGIE ENERGY MARKETING NA INC,0.0,,south
BRP_PBL1_RN,RN,28.678935,-100.463708,fuzzy_name,1.0,Pueblo BA,19.8,,BRP INTERMEDIATECO I LLC | ENGIE ENERGY MARKETING NA INC,0.0,,south
BRP_PBL2_RN,RN,28.678935,-100.463708,fuzzy_name,1.0,Pueblo BA,19.8,,BRP INTERMEDIATECO I LLC | ENGIE ENERGY MARKETING NA INC,0.0,,south
BRP_RN_UNIT1,OTHER,29.617885,-98.73595,manual,1.0,,0.0,,BRP INTERMEDIATECO I LLC | ENGIE ENERGY MARKETING NA INC,0.0,,south
BRP_SWNY_RN,RN,29.055615,-95.687237,fuzzy_name,1.0,Sweeny,9.9,,BRP INTERMEDIATECO I LLC | ENGIE ENERGY MARKETING NA INC,0.0,,houston
BRP_ZPT1_RN,RN,26.932675,-99.233708,fuzzy_name,1.0,Zapata,19.8,,BRP INTERMEDIATECO I LLC,0.0,,south
BRP_ZPT2_RN,RN,26.932675,-99.233708,fuzzy_name,1.0,Zapata,19.8,,BRP INTERMEDIATECO I LLC,0.0,,south
BRTSW_BCW1,OTHER,33.052226,-98.328415,station_description,1.0,Barton Chapel Wind Farm,120.0,BARTON CHAPEL WIND FARM,AVANGRID TEXAS RENEWABLES LLC | AVANGRID POWER LLC,120.0,1.0,north
BR_ARROW_ALL,OTHER,33.22392,-95.730767,station_description,1.0,Bright Arrow Solar LLC,403.6,BRIGHT ARROW SOLAR,BRIGHT ARROW SOLAR LLC | RWE CLEAN ENERGY LLC,301.0,0.746,north
BR_VHB6CT5_6,OTHER,29.2567,-98.3825,lmp_node_designation,1.0,V H Braunig,1138.0,BRAUNIG,CPS ENERGY,130.0,0.114,south
BR_VHB6CT7_8,OTHER,29.2567,-98.3825,lmp_node_designation,1.0,V H Braunig,1138.0,BRAUNIG,CPS ENERGY,130.0,0.114,south
BSS_U1,OTHER,29.149166,-95.651111,owner_name,1.0,Prospect Storage,9.9,,WEST COLUMBIA STORAGE LLC | GLIDEPATH STORAGE OPERATIONS LLC,0.0,,houston
BTE_BTE_G1,OTHER,29.7731,-94.9019,fuzzy_lmp,1.0,Baytown Energy Center,932.9000000000001,,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,0.0,,houston
BTE_BTE_G2,OTHER,29.7731,-94.9019,fuzzy_lmp,1.0,Baytown Energy Center,932.9000000000001,,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,0.0,,houston
BTE_BTE_G3,OTHER,29.7731,-94.9019,fuzzy_lmp,1.0,Baytown Energy Center,932.9000000000001,,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,0.0,,houston
BTE_BTE_G4,OTHER,29.7731,-94.9019,fuzzy_lmp,1.0,Baytown Energy Center,932.9000000000001,,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,0.0,,houston
BTE_CC1,PCCRN,29.7731,-94.9019,lmp_node_designation,1.0,Baytown Energy Center,932.9000000000001,,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,0.0,,houston
BTE_PUN1,PUN,29.7731,-94.9019,manual,1.0,,0.0,,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,0.0,,houston
BTE_PUN2,PUN,29.7731,-94.9019,manual,1.0,,0.0,,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,0.0,,houston
BTM_ALL,OTHER,29.364128,-95.435068,station_description,1.0,Brotman Power Station,484.0,BROTMAN POWER STATION,BROTMAN GENERATING LLC | SOUTH TEXAS ELECTRIC CO OP INC | BROTMAN II LLC,488.0,1.008,houston
BUCHAN_ALL,OTHER,30.7507,-98.4176,station_description,1.0,Buchanan Dam (TX),54.900000000000006,BUCHANAN,LOWER COLORADO RIVER AUTHORITY,54.0,0.984,south
BUCKTHRN_RN,RN,32.371306,-98.377389,station_description,1.0,Buckthorn Wind,100.5,BUCKTHORN WIND,BUCKTHORN WIND PROJECT LLC | BOSTON ENERGY TRADING AND MARKETING LLC,101.0,1.005,north
BUDA_RN,RN,30.07559,-97.851255,manual,1.0,,0.0,BUDA,BUDA INFRA LLC,10.0,,south
BUFF_GAP_ALL,OTHER,32.2993,-100.11528,gridstatus,1.0,Buffalo Gap 2 Wind Farm,232.5,BUFFALO GAP WIND FARM,BUFFALO GAP WIND FARM LLC | DIRECT ENERGY LP | BUFFALO GAP WIND FARM 2 LLC | BUFFALO GAP WIND FARM 3 LLC,524.0,2.254,west
BULLCRK_1_2,OTHER,32.929014,-101.578617,station_description,1.0,Bull Creek Wind,180.0,BULL CREEK WIND,BULL CREEK WIND LLC | BULL CREEK WIND LLC RE,180.0,1.0,west
BUZI_SLR_RN,RN,33.845211000000006,-100.896791,gridstatus,1.0,Roaring Springs LLC,250.0,BUZIOS SOLAR,ROARING SPRINGS SOLAR LLC | NEXTERA ENERGY RESOURCES LLC,252.0,1.008,west
BVE_CC1,PCCRN,29.4731,-95.6244,station_description,1.0,Jack Fusco Energy Center,675.6,BRAZOS VALLEY ENERGY,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,673.0,0.996,houston
BVE_UNIT1,OTHER,29.4731,-95.6244,station_description,1.0,Jack Fusco Energy Center,675.6,BRAZOS VALLEY ENERGY,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,199.0,0.295,houston
BVE_UNIT2,OTHER,29.4731,-95.6244,station_description,1.0,Jack Fusco Energy Center,675.6,BRAZOS VALLEY ENERGY,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,199.0,0.295,houston
BVE_UNIT3,OTHER,29.4731,-95.6244,station_description,1.0,Jack Fusco Energy Center,675.6,BRAZOS VALLEY ENERGY,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,275.0,0.407,houston
BYNM_SLR_RN,RN,31.783877,-97.518443,manual,1.0,,0.0,,BYNUM SOLAR PROJECT LLC,0.0,,north
BYP_RN,RN,29.4844,-95.6216,manual,1.0,,0.0,,BYPASS BESS LLC | CONSTELLATION ENERGY GENERATION LLC,0.0,,houston
BYRDR_ES_ALL,OTHER,29.056,-95.686,owner_name,1.0,Byrd Ranch Storage,50.0,,BYRD RANCH STORAGE LLC | GLIDEPATH STORAGE OPERATIONS LLC,0.0,,houston
BYU_BYU_1,OTHER,29.626364,-95.046569,manual,1.0,,0.0,,AIR LIQUIDE LARGE INDUSTRIES US LP,0.0,,houston
