bus,lat,lon,carrier,capacity_mw,sub_id,sub_name,eia_plant_code,match_quality
4103,26.451111,-98.1775,gas,18.3,295,EDINBURG 1,59391.0,matched_all
4103,26.451111,-98.1775,gas,18.3,295,EDINBURG 1,59391.0,matched_all
4103,26.451111,-98.1775,gas,18.3,295,EDINBURG 1,59391.0,matched_all
4105,27.9386,-97.4586,wind,180.0,296,TAFT 2,56983.0,matched_all
4111,26.232466,-97.823173,battery,10.0,302,HARLINGEN 2,66928.0,matched_all
4115,27.5667,-99.5089,gas,90.1,304,LAREDO 1,3439.0,matched_fuel
4116,27.5667,-99.5089,gas,87.3,304,LAREDO 1,3439.0,matched_fuel
4121,26.100103,-97.798453,solar,45.0,309,SANTA MARIA,65662.0,matched_all
4133,28.9377,-99.10765,solar,200.0,319,PEARSALL,65308.0,matched_all
4153,27.0011,-97.5994,wind,283.2,329,ARMSTRONG 1,56661.0,matched_all
4160,27.819412,-97.419203,gas,319.0,334,CORPUS CHRISTI 1,3441.0,matched_all
4161,27.819412,-97.419203,gas,157.0,334,CORPUS CHRISTI 1,3441.0,matched_fuel
4162,27.819412,-97.419203,gas,157.0,334,CORPUS CHRISTI 1,3441.0,matched_fuel
4166,27.122529,-97.557372,wind,201.6,336,SARITA 2,57095.0,matched_all
4177,27.576111,-98.905278,wind,150.0,346,BRUNI 1,57260.0,matched_all
5012,33.214869,-97.209692,gas,18.8,371,DENTON 5,61643.0,matched_all
5012,33.214869,-97.209692,gas,18.8,371,DENTON 5,61643.0,matched_all
5012,33.214869,-97.209692,gas,18.8,371,DENTON 5,61643.0,matched_all
5012,33.214869,-97.209692,gas,18.8,371,DENTON 5,61643.0,matched_all
5012,33.214869,-97.209692,gas,18.8,371,DENTON 5,61643.0,matched_all
5012,33.214869,-97.209692,gas,18.8,371,DENTON 5,61643.0,matched_all
5012,33.214869,-97.209692,gas,18.8,371,DENTON 5,61643.0,matched_all
5012,33.214869,-97.209692,gas,18.8,371,DENTON 5,61643.0,matched_all
5012,33.214869,-97.209692,gas,18.8,371,DENTON 5,61643.0,matched_all
5012,33.214869,-97.209692,gas,18.8,371,DENTON 5,61643.0,matched_all
5012,33.214869,-97.209692,gas,18.8,371,DENTON 5,61643.0,matched_all
5012,33.214869,-97.209692,gas,18.8,371,DENTON 5,61643.0,matched_all
5020,33.052226,-98.328415,wind,120.0,376,JACKSBORO 1,57156.0,matched_all
5029,31.291151,-97.260738,solar,10.0,383,TROY,61874.0,matched_all
5049,33.1707,-96.1264,oil,23.0,392,GREENVILLE 1,4195.0,matched_location
5049,33.1707,-96.1264,oil,18.0,392,GREENVILLE 1,4195.0,matched_location
5051,33.1707,-96.1264,oil,41.0,392,GREENVILLE 1,4195.0,matched_location
5057,33.1344,-98.6117,gas,390.0,395,GRAHAM,3490.0,matched_fuel
5058,33.1344,-98.6117,gas,239.0,395,GRAHAM,3490.0,matched_all
5080,31.34904,-97.21786,solar,44.2,407,LORENA,61874.0,matched_fuel
5081,31.114983,-97.845111,solar,15.4,408,FORT HOOD,60774.0,matched_all
5089,31.8594,-97.3586,gas,208.0,414,CLIFTON 1,55172.0,matched_fuel
5115,33.16114,-96.239739,solar,10.0,437,CADDO MILLS,61532.0,matched_all
5154,32.116002,-97.343521,battery,52.2,472,RIO VISTA,63180.0,matched_location
5166,33.1975,-97.1061,gas,61.0,482,DENTON 1,4266.0,matched_all
5167,33.1975,-97.1061,gas,61.0,482,DENTON 1,4266.0,matched_all
5170,32.338659,-98.476051,wind,52.8,484,DUBLIN 1,56771.0,matched_all
5174,31.8932,-96.8751,solar,49.6,488,MALONE,67024.0,matched_all
5198,33.205801,-98.365069,wind,150.0,508,BRYSON 1,57981.0,matched_all
5206,33.101,-97.9574,gas,290.5,514,POOLVILLE,55320.0,matched_all
5207,33.101,-97.9574,gas,290.5,514,POOLVILLE,55320.0,matched_all
5208,33.101,-97.9574,gas,165.0,514,POOLVILLE,55230.0,matched_all
5219,32.533273,-96.428985,battery,50.0,525,SCURRY,63892.0,matched_location
5231,31.738177,-98.213739,battery,10.0,537,HAMILTON,66410.0,matched_location
5238,33.383611,-98.711944,wind,198.0,542,OLNEY 1,57520.0,matched_all
5243,31.383333,-98.466667,wind,150.0,543,GOLDTHWAITE 1,58321.0,matched_all
5262,32.298365,-97.785515,nuclear,1205.0,560,GLEN ROSE 1,6145.0,matched_all
5263,32.298365,-97.785515,nuclear,1195.0,560,GLEN ROSE 1,6145.0,matched_all
5281,31.055833,-97.317222,gas,326.0,576,TEMPLE 1,58001.0,matched_fuel
5282,31.055833,-97.317222,gas,326.0,576,TEMPLE 1,58001.0,matched_fuel
5283,31.055833,-97.317222,gas,232.0,576,TEMPLE 1,58001.0,matched_all
5284,32.986,-96.085998,solar,50.0,577,QUINLAN,67849.0,matched_all
5290,31.8694,-97.3667,hydro,21.0,583,WHITNEY,6414.0,matched_all
5290,31.8694,-97.3667,hydro,21.0,583,WHITNEY,6414.0,matched_all
5319,32.337679,-97.734612,gas,446.3,601,GRANBURY 1,59812.0,matched_all
5320,32.337679,-97.734612,gas,329.3,601,GRANBURY 1,59812.0,matched_all
5321,32.337679,-97.734612,gas,327.8,601,GRANBURY 1,59812.0,matched_all
5324,32.7231,-96.9358,gas,568.0,602,DALLAS 2,3453.0,matched_fuel
5325,32.7231,-96.9358,gas,122.0,602,DALLAS 2,3453.0,matched_all
5326,32.7231,-96.9358,gas,118.0,602,DALLAS 2,3453.0,matched_all
5360,31.474378,-96.957149,coal,932.6,631,RIESEL 1,56611.0,matched_all
5382,32.32,-96.675,gas,245.1,643,ENNIS,55223.0,matched_all
5383,32.32,-96.675,gas,114.4,643,ENNIS,55223.0,matched_fuel
5399,32.7683,-99.4228,wind,162.3,650,ALBANY 1,56823.0,matched_all
5403,32.33422,-97.731686,gas,280.0,652,GRANBURY 2,55139.0,matched_all
5404,32.33422,-97.731686,gas,236.0,652,GRANBURY 2,55139.0,matched_all
5405,32.33422,-97.731686,gas,234.5,652,GRANBURY 2,55139.0,matched_all
5415,32.6581,-98.3103,gas,200.0,658,PALO PINTO 1,3628.0,matched_fuel
5416,32.6581,-98.3103,gas,104.0,658,PALO PINTO 1,3628.0,matched_all
5417,32.6581,-98.3103,gas,104.0,658,PALO PINTO 1,3628.0,matched_all
5418,32.6581,-98.3103,gas,100.0,658,PALO PINTO 1,3628.0,matched_all
5419,32.6581,-98.3103,gas,66.0,658,PALO PINTO 1,3628.0,matched_fuel
6001,29.47982,-98.29926,solar,39.6,716,CONVERSE,59204.0,matched_fuel
6006,30.1456,-97.2708,gas,335.0,718,BASTROP,3601.0,matched_fuel
6007,30.1456,-97.2708,gas,136.0,718,BASTROP,3601.0,matched_all
6008,30.1456,-97.2708,gas,136.0,718,BASTROP,3601.0,matched_all
6027,30.41432,-97.35518,battery,50.0,733,ELGIN,65700.0,matched_all
6069,29.6244,-98.1419,gas,197.0,751,MARION 1,55153.0,matched_all
6070,29.6244,-98.1419,gas,196.0,751,MARION 1,55153.0,matched_all
6071,29.6244,-98.1419,gas,160.0,751,MARION 1,55153.0,matched_all
6072,29.6244,-98.1419,gas,160.0,751,MARION 1,55153.0,matched_all
6073,29.6244,-98.1419,gas,153.0,751,MARION 1,55153.0,matched_all
6074,29.6244,-98.1419,gas,153.0,751,MARION 1,55153.0,matched_all
6078,29.9172,-96.7506,coal,590.0,752,LA GRANGE,6179.0,matched_all
6079,29.9172,-96.7506,coal,590.0,752,LA GRANGE,6179.0,matched_all
6080,29.9172,-96.7506,coal,435.0,752,LA GRANGE,6179.0,matched_fuel
