"OWNER RE","RESOURCE NAME","TYPE","SPLIT GEN RESOURCE","DME","DME DUNS","RMR"
"LORAINE WINDPARK PROJECT LLC (RE)","LONEWOLF_G3","Generation","Not Applicable","LORAINE WINDPARK PROJECT LLC (DME)","8317486087000","N"
"LORAINE WINDPARK PROJECT LLC (RE)","LONEWOLF_G4","Generation","Not Applicable","LORAINE WINDPARK PROJECT LLC (DME)","8317486087000","N"
"LOS VIENTOS WINDPOWER IA LLC (RE)","LV1_LV1A","Generation","Not Applicable","CITY OF AUSTIN DBA AUSTIN ENERGY (DME)","8008717667000","N"
"LOS VIENTOS WINDPOWER IB LLC (RE)","LV2_LV2","Generation","Not Applicable","LOS VIENTOS WINDPOWER IB LLC (DME)","0785000547000","N"
"LOS VIENTOS WINDPOWER III LLC (RE)","LV3_UNIT_1","Generation","Not Applicable","CITY OF AUSTIN DBA AUSTIN ENERGY (DME)","8008717667000","N"
"LOS VIENTOS WINDPOWER IV LLC (RE)","LV4_UNIT_1","Generation","Not Applicable","LOS VIENTOS WINDPOWER IV LLC (DME)","0794041757000","N"
"LOS VIENTOS WINDPOWER V LLC (RE)","LV5_UNIT_1","Generation","Not Applicable","LOS VIENTOS WINDPOWER V LLC (DME)","0797730827000","N"
"LOWER COLORADO RIVER AUTHORITY (RE)","AUSTPL_AUSTING1","Generation","Not Applicable","LOWER COLORADO RIVER AUTHORITY (DME)","0432268857000","N"
"LOWER COLORADO RIVER AUTHORITY (RE)","AUSTPL_AUSTING2","Generation","Not Applicable","LOWER COLORADO RIVER AUTHORITY (DME)","0432268857000","N"
"LOWER COLORADO RIVER AUTHORITY (RE)","BUCHAN_BUCHANG1","Generation","Not Applicable","LOWER COLORADO RIVER AUTHORITY (DME)","0432268857000","N"
"LOWER COLORADO RIVER AUTHORITY (RE)","BUCHAN_BUCHANG2","Generation","Not Applicable","LOWER COLORADO RIVER AUTHORITY (DME)","0432268857000","N"
"LOWER COLORADO RIVER AUTHORITY (RE)","BUCHAN_BUCHANG3","Generation","Not Applicable","LOWER COLORADO RIVER AUTHORITY (DME)","0432268857000","N"
"LOWER COLORADO RIVER AUTHORITY (RE)","FERGCC_FERGGT1","Generation","Not Applicable","LOWER COLORADO RIVER AUTHORITY (DME)","0432268857000","N"
"LOWER COLORADO RIVER AUTHORITY (RE)","FERGCC_FERGGT2","Generation","Not Applicable","LOWER COLORADO RIVER AUTHORITY (DME)","0432268857000","N"
"LOWER COLORADO RIVER AUTHORITY (RE)","FERGCC_FERGST1","Generation","Not Applicable","LOWER COLORADO RIVER AUTHORITY (DME)","0432268857000","N"
"LOWER COLORADO RIVER AUTHORITY (RE)","FPPYD1_FPP_G1","Generation","FPPYD1_FPP_G1_J01","LOWER COLORADO RIVER AUTHORITY (DME)","0432268857000","N"
"LOWER COLORADO RIVER AUTHORITY (RE)","FPPYD1_FPP_G2","Generation","FPPYD1_FPP_G2_J01","LOWER COLORADO RIVER AUTHORITY (DME)","0432268857000","N"
"LOWER COLORADO RIVER AUTHORITY (RE)","FPPYD2_FPP_G3","Generation","Not Applicable","LOWER COLORADO RIVER AUTHORITY (DME)","0432268857000","N"
"LOWER COLORADO RIVER AUTHORITY (RE)","GIDEON_GIDEONG1","Generation","Not Applicable","LOWER COLORADO RIVER AUTHORITY (DME)","0432268857000","N"
"LOWER COLORADO RIVER AUTHORITY (RE)","GIDEON_GIDEONG2","Generation","Not Applicable","LOWER COLORADO RIVER AUTHORITY (DME)","0432268857000","N"
"LOWER COLORADO RIVER AUTHORITY (RE)","GIDEON_GIDEONG3","Generation","Not Applicable","LOWER COLORADO RIVER AUTHORITY (DME)","0432268857000","N"
"LOWER COLORADO RIVER AUTHORITY (RE)","INKSDA_INKS_G1","Generation","Not Applicable","LOWER COLORADO RIVER AUTHORITY (DME)","0432268857000","N"
"LOWER COLORADO RIVER AUTHORITY (RE)","MARBFA_MARBFAG1","Generation","Not Applicable","LOWER COLORADO RIVER AUTHORITY (DME)","0432268857000","N"
"LOWER COLORADO RIVER AUTHORITY (RE)","MARBFA_MARBFAG2","Generation","Not Applicable","LOWER COLORADO RIVER AUTHORITY (DME)","0432268857000","N"
"LOWER COLORADO RIVER AUTHORITY (RE)","MARSFO_MARSFOG1","Generation","Not Applicable","LOWER COLORADO RIVER AUTHORITY (DME)","0432268857000","N"
"LOWER COLORADO RIVER AUTHORITY (RE)","MARSFO_MARSFOG2","Generation","Not Applicable","LOWER COLORADO RIVER AUTHORITY (DME)","0432268857000","N"
"LOWER COLORADO RIVER AUTHORITY (RE)","MARSFO_MARSFOG3","Generation","Not Applicable","LOWER COLORADO RIVER AUTHORITY (DME)","0432268857000","N"
"LOWER COLORADO RIVER AUTHORITY (RE)","SCES_UNIT1","Generation","SCES_UNIT1_J04","LOWER COLORADO RIVER AUTHORITY (DME)","0432268857000","N"
"LOWER COLORADO RIVER AUTHORITY (RE)","TIMPP_AGR1","Generation","Not Applicable","LOWER COLORADO RIVER AUTHORITY (DME)","0432268857000","N"
"LOWER COLORADO RIVER AUTHORITY (RE)","TIMPP_AGR2","Generation","Not Applicable","LOWER COLORADO RIVER AUTHORITY (DME)","0432268857000","N"
"LOWER COLORADO RIVER AUTHORITY (RE)","TIMPP_AGR3","Generation","Not Applicable","LOWER COLORADO RIVER AUTHORITY (DME)","0432268857000","N"
"LOWER COLORADO RIVER AUTHORITY (RE)","TIMPP_AGR4","Generation","Not Applicable","LOWER COLORADO RIVER AUTHORITY (DME)","0432268857000","N"
"LOWER COLORADO RIVER AUTHORITY (RE)","TIMPP_AGR5","Generation","Not Applicable","LOWER COLORADO RIVER AUTHORITY (DME)","0432268857000","N"
"LOWER COLORADO RIVER AUTHORITY (RE)","TIMPP_AGR6","Generation","Not Applicable","LOWER COLORADO RIVER AUTHORITY (DME)","0432268857000","N"
"LOWER COLORADO RIVER AUTHORITY (RE)","TIMPP_AGR7","Generation","Not Applicable","LOWER COLORADO RIVER AUTHORITY (DME)","0432268857000","N"
"LOWER COLORADO RIVER AUTHORITY (RE)","TIMPP_AGR8","Generation","Not Applicable","LOWER COLORADO RIVER AUTHORITY (DME)","0432268857000","N"
"LOWER COLORADO RIVER AUTHORITY (RE)","WIPOPA_WPP_G1","Generation","Not Applicable","LOWER COLORADO RIVER AUTHORITY (DME)","0432268857000","N"
