RESOURCE_NODE,UNIT_SUBSTATION,UNIT_NAME
BRPMAGNO_RN,MAGNO_TN,ESR1
BRP_BRAZ_RN,BRAZORIA,ESR1
BRP_DIKN_RN,DICKNSON,ESR1
BRP_LOOP_RN,L_463S,ESR1
BRP_LOP1_RN,LOPENO,ESR1
BRP_PBL1_RN,PUEBLO,ESR1
BRP_PBL2_RN,PUEBLO,ESR2
BRP_RN_UNIT1,K0,ESR1
BRP_SWNY_RN,SWEENY,ESR1
BRP_ZPT1_RN,ZAPATA,ESR1
BRP_ZPT2_RN,ZAPATA,ESR2
BRTSW_BCW1,BRTSW,BCW1
BR_ARROW_ALL,BR_ARROW,ESR1
BR_ARROW_ALL,BR_ARROW,ESR2
BR_ARROW_ALL,BR_ARROW,UNIT1
BR_ARROW_ALL,BR_ARROW,UNIT2
BR_VHB6CT5_6,BRAUNIG,VHB6CT5
BR_VHB6CT5_6,BRAUNIG,VHB6CT6
BR_VHB6CT7_8,BRAUNIG,VHB6CT7
BR_VHB6CT7_8,BRAUNIG,VHB6CT8
BSS_U1,WCOLLOCL,ESR1
BTE_BTE_G1,BTE,BTE_G1
BTE_BTE_G2,BTE,BTE_G2
BTE_BTE_G3,BTE,BTE_G3
BTE_BTE_G4,BTE,BTE_G4
BTM_ALL,BTM,UNIT1
BTM_ALL,BTM,UNIT2
BTM_ALL,BTM,UNIT3
BTM_ALL,BTM,UNIT4
BTM_ALL,BTM,UNIT5
BTM_ALL,BTM,UNIT6
BTM_ALL,BTM,UNIT7
BTM_ALL,BTM,UNIT8
BUCHAN_ALL,BUCHAN,BUCHANG1
BUCHAN_ALL,BUCHAN,BUCHANG2
BUCHAN_ALL,BUCHAN,BUCHANG3
BUCKTHRN_RN,BUCKTHRN,UNIT1
BUCKTHRN_RN,BUCKTHRN,UNIT2
BUDA_RN,BUDA,ESR1
BUFF_GAP_ALL,BUFF_GAP,UNIT1
BUFF_GAP_ALL,BUFF_GAP,UNIT2_1
BUFF_GAP_ALL,BUFF_GAP,UNIT2_2
BUFF_GAP_ALL,BUFF_GAP,UNIT3
BULLCRK_1_2,BULLCRK,WND1
BULLCRK_1_2,BULLCRK,WND2
BUZI_SLR_RN,BUZI_SLR,UNIT1
BUZI_SLR_RN,BUZI_SLR,UNIT2
BUZI_SLR_RN,BUZI_SLR,UNIT3
BUZI_SLR_RN,BUZI_SLR,UNIT4
BVE_UNIT1,BVE,UNIT1
BVE_UNIT2,BVE,UNIT2
BVE_UNIT3,BVE,UNIT3
BYNM_SLR_RN,BYNM_SLR,SOLAR1
BYP_RN,BYP,ESR1
BYRDR_ES_ALL,BYRDR_ES,ESR1
BYU_BYU_1,BYU,BYU_G1
BYU_BYU_12,BYU,BYU_G2
BYU_BYU_34,BYU,BYU_G3
BYU_G4_RN,BYU,BYU_G4
B_DAVIS_3,B_DAVIS,B_DAVIG3
B_DAVIS_4,B_DAVIS,B_DAVIG4
B_D_B_DAVIG1,B_DAVIS,B_DAVIG1
B_D_B_DAVIG2,B_DAVIS,B_DAVIG2
CABEZON_ALL,CABEZON,WIND1
CABEZON_ALL,CABEZON,WIND2
CACH_ESS_RN,CACH_ESS,ESR1
CALAVER_JKS1,CALAVERS,JKS1
CALAVER_JKS2,CALAVERS,JKS2
CALAVER_OWS1,CALAVERS,OWS1
CALAVER_OWS2,CALAVERS,OWS2
CALHOUN_ALL,CALHOUN,UNIT1
CALHOUN_ALL,CALHOUN,UNIT2
CALLAHA_WND1,CALLAHAN,WND1
CAL_CALGT1,CAL,CALGT1
CAL_CALSTG1,CAL,CALSTG1
CAMWIND_RN,CAMWIND,ESR1
CAMWIND_RN,CAMWIND,UNIT1
CANYONWD_ALL,CANYONWD,UNIT1
CANYONWD_ALL,CANYONWD,UNIT2
CANYONWD_ALL,CANYONWD,UNIT3
CANYONWD_ALL,CANYONWD,UNIT4
CANYONWD_ALL,CANYONWD,UNIT5
CANYONWD_ALL,CANYONWD,UNIT6
CAPRIDG4_CR4,CAPRIDG4,BB2_PV1
CAPRIDG4_CR4,CAPRIDG4,BB2_PV2
CAPRIDG4_CR4,CAPRIDG4,BB_PV
CAPRIDG4_CR4,CAPRIDG4,CR4
CAPRIDGE_ALL,CAPRIDGE,CR1
CAPRIDGE_ALL,CAPRIDGE,CR2
CAPRIDGE_ALL,CAPRIDGE,CR3
CARA_ESS_RN,CARA_ESS,ESR1
CARBN_BSP_1,CARBN,BSP_1
CARN_ESS_RN,CARN_ESS,ESR1
CARRIZO_ESR1,CARRIZO,ESR1
CARTWHL_RN,CARTWHL,ESR1
CASL_GAP_UN1,CASL_GAP,ESR1
CASL_GAP_UN1,CASL_GAP,UNIT1
CAST_ESS_RN,CAST_ESS,ESR1
CATARINA_B1,CATARINA,ESR1
CBECII_89,CBECII,CT8
CBECII_89,CBECII,STG9
CBECII_CT7,CBECII,CT7
CBEC_ALL,CBEC,GT1
CBEC_ALL,CBEC,GT11
CBEC_ALL,CBEC,GT12
CBEC_ALL,CBEC,GT2
CBEC_ALL,CBEC,GT3
CBEC_ALL,CBEC,GT4
CBEC_ALL,CBEC,STG1
CBEC_ALL,CBEC,STG2
CBY4_ALL,CBY4,CT41
CBY4_ALL,CBY4,CT42
CBY4_ALL,CBY4,ST04
CBY_CBY_G1,CBY,CBY_G1
CBY_CBY_G2,CBY,CBY_G2
CCEC_GT1,CCEC,GT1
CCEC_GT2,CCEC,GT2
CCEC_ST1,CCEC,ST1
CDRVLE_U1_RN,CEDRVALE,UNIT1
CEDROHI_CHW1,CEDROHIL,CHW1
CEDROHI_CHW1,CEDROHIL,CHW2
CEDRVALE_RN,CEDRVALE,ESR1
CFLATS_UNIT,CFLATS,U1
CFLAT_ES_RN,CFLAT_ES,ESR1
CHALUP_ALL,CHALUPA,UNIT1
CHALUP_ALL,CHALUPA,UNIT2
CHAL_SLR_RN,CHAL_SLR,SOLAR1
CHAMON_UN1,CHAMON,CTG_0101
CHAMON_UN2,CHAMON,CTG_0301
CHAR_SLR_RN,CHAR_SLR,UNIT1
CHAR_SLR_RN,CHAR_SLR,UNIT2
