SCEDTimestamp,RepeatedHourFlag,SettlementPoint,LMP
06/25/2026 00:40:18,N,BYNM_SLR_RN,       27.39
06/25/2026 00:40:18,N,BYP_RN,       27.12
06/25/2026 00:40:18,N,BYRDR_ES_ALL,       27.08
06/25/2026 00:40:18,N,BYU_BYU_1,       27.14
06/25/2026 00:40:18,N,BYU_BYU_12,       27.14
06/25/2026 00:40:18,N,BYU_BYU_34,       27.14
06/25/2026 00:40:18,N,BYU_CC1,       27.14
06/25/2026 00:40:18,N,BYU_G4_RN,       27.14
06/25/2026 00:40:18,N,BYU_PUN1,       27.14
06/25/2026 00:40:18,N,BYU_PUN2,       27.14
06/25/2026 00:40:18,N,BYU_PUN3,       27.14
06/25/2026 00:40:18,N,BYU_PUN4,       27.14
06/25/2026 00:40:18,N,B_DAVIS_3,       25.86
06/25/2026 00:40:18,N,B_DAVIS_4,       25.86
06/25/2026 00:40:18,N,B_DAVIS_CC1,       25.86
06/25/2026 00:40:18,N,B_D_B_DAVIG1,       25.86
06/25/2026 00:40:18,N,B_D_B_DAVIG2,       25.86
06/25/2026 00:40:18,N,CABEZON_ALL,       23.75
06/25/2026 00:40:18,N,CACH_ESS_RN,       27.06
06/25/2026 00:40:18,N,CALAVER_JKS1,       27.00
06/25/2026 00:40:18,N,CALAVER_JKS2,       27.00
06/25/2026 00:40:18,N,CALAVER_JTD1,       27.08
06/25/2026 00:40:18,N,CALAVER_JTD2,       27.08
06/25/2026 00:40:18,N,CALAVER_OWS1,       27.07
06/25/2026 00:40:18,N,CALAVER_OWS2,       27.08
06/25/2026 00:40:18,N,CALHOUN_ALL,       26.66
06/25/2026 00:40:18,N,CALLAHA_WND1,       27.45
06/25/2026 00:40:18,N,CAL_CALGT1,       27.15
06/25/2026 00:40:18,N,CAL_CALSTG1,       27.15
06/25/2026 00:40:18,N,CAL_CC1,       27.15
06/25/2026 00:40:18,N,CAL_PUN1,       27.15
06/25/2026 00:40:18,N,CAL_PUN2,       27.15
06/25/2026 00:40:18,N,CAMWIND_RN,       24.81
06/25/2026 00:40:18,N,CANYONWD_ALL,       28.03
06/25/2026 00:40:18,N,CAPRIDG4_CR4,       27.38
06/25/2026 00:40:18,N,CAPRIDGE_ALL,       27.38
06/25/2026 00:40:18,N,CARA_ESS_RN,       24.50
06/25/2026 00:40:18,N,CARBN_BSP_1,       28.46
06/25/2026 00:40:18,N,CARN_ESS_RN,       25.91
06/25/2026 00:40:18,N,CARRIZO_ESR1,       33.55
06/25/2026 00:40:18,N,CARTWHL_RN,       27.51
06/25/2026 00:40:18,N,CASL_GAP_UN1,       32.84
06/25/2026 00:40:18,N,CAST_ESS_RN,       27.08
06/25/2026 00:40:18,N,CATARINA_B1,       38.57
06/25/2026 00:40:18,N,CBECII_89,       27.07
06/25/2026 00:40:18,N,CBECII_CC3,       27.07
06/25/2026 00:40:18,N,CBECII_CT7,       27.07
06/25/2026 00:40:18,N,CBEC_ALL,       27.06
06/25/2026 00:40:18,N,CBEC_CC1,       27.06
06/25/2026 00:40:18,N,CBEC_CC2,       27.06
06/25/2026 00:40:18,N,CBY4_ALL,       27.16
06/25/2026 00:40:18,N,CBY4_CC1,       27.16
06/25/2026 00:40:18,N,CBY_CBY_G1,       27.16
06/25/2026 00:40:18,N,CBY_CBY_G2,       27.16
06/25/2026 00:40:18,N,CCEC_CC1,       25.92
06/25/2026 00:40:18,N,CCEC_GT1,       25.92
06/25/2026 00:40:18,N,CCEC_GT2,       25.92
06/25/2026 00:40:18,N,CCEC_PUN1,       25.92
06/25/2026 00:40:18,N,CCEC_PUN2,       25.92
06/25/2026 00:40:18,N,CCEC_ST1,       25.92
06/25/2026 00:40:18,N,CDRVLE_U1_RN,       30.73
06/25/2026 00:40:18,N,CEDROHI_CHW1,       23.03
06/25/2026 00:40:18,N,CEDRVALE_RN,       30.73
06/25/2026 00:40:18,N,CFLATS_UNIT,       25.88
06/25/2026 00:40:18,N,CFLAT_ES_RN,       24.78
06/25/2026 00:40:18,N,CHALUP_ALL,       24.79
06/25/2026 00:40:18,N,CHAL_SLR_RN,       30.56
06/25/2026 00:40:18,N,CHAMON_UN1,       27.16
06/25/2026 00:40:18,N,CHAMON_UN2,       27.16
06/25/2026 00:40:18,N,CHAR_SLR_RN,       26.40
06/25/2026 00:40:18,N,CHEDPW_GT2,       27.17
06/25/2026 00:40:18,N,CHE_CC1,       27.17
06/25/2026 00:40:18,N,CHE_LYD,       27.16
06/25/2026 00:40:18,N,CHE_LYD2,       27.16
06/25/2026 00:40:18,N,CHE_PUN1,       27.16
06/25/2026 00:40:18,N,CHE_PUN2,       27.16
06/25/2026 00:40:18,N,CHIL_SLR,       27.28
06/25/2026 00:40:18,N,CHISMGRD_RN,       27.56
06/25/2026 00:40:18,N,CISC_RN,       27.57
06/25/2026 00:40:18,N,CITRUSCY_RN,       24.43
06/25/2026 00:40:18,N,CITYVICT_ALL,       26.63
06/25/2026 00:40:18,N,CLO_RN,       27.14
06/25/2026 00:40:18,N,CLT_RN,       27.14
06/25/2026 00:40:18,N,CMPD_SLR_RN,       27.49
06/25/2026 00:40:18,N,CNLY_ESS_RN,       27.56
06/25/2026 00:40:18,N,CNTRY_RN,       27.51
06/25/2026 00:40:18,N,CNTYRDS_RN,       30.76
06/25/2026 00:40:18,N,CN_BRKS_UNT1,       27.88
06/25/2026 00:40:18,N,COL_COLETOG1,       26.52
06/25/2026 00:40:18,N,CONIGLIO_RN,       27.52
06/25/2026 00:40:18,N,CONTINEN_RN,       23.76
06/25/2026 00:40:18,N,CORALSLR_ALL,       27.37
06/25/2026 00:40:18,N,CORAZON_RN,       22.79
06/25/2026 00:40:18,N,COTPLNS_RN,       27.89
06/25/2026 00:40:18,N,COTTON_PAP2,       25.98
06/25/2026 00:40:18,N,COTULLA_RN,       26.96
06/25/2026 00:40:18,N,COYANOSA_RN,       30.88
06/25/2026 00:40:18,N,COYOTSPR_AGR,       30.75
06/25/2026 00:40:18,N,COYOTSPR_RN,       30.75
06/25/2026 00:40:18,N,CPSES_UNIT1,       27.51
06/25/2026 00:40:18,N,CPSES_UNIT2,       27.51
06/25/2026 00:40:18,N,CRANELL_ALL,       26.12
06/25/2026 00:40:18,N,CRAWFISH_RN,       26.92
06/25/2026 00:40:18,N,CROSSETT_ALL,       32.38
06/25/2026 00:40:18,N,CROSSTRL_RN,       28.18
06/25/2026 00:40:18,N,CRWN_SLR_UN1,       27.35
06/25/2026 00:40:18,N,CR_RN,       27.15
06/25/2026 00:40:18,N,CSC_CSECG1_2,       28.07
06/25/2026 00:40:18,N,CST1_SLR_RN,       27.87
06/25/2026 00:40:18,N,CST2_SLR_RN,       27.87
06/25/2026 00:40:18,N,CS_RN,       27.16
06/25/2026 00:40:18,N,CTW_RN,       27.11
06/25/2026 00:40:18,N,CVC_CC1,       27.17
06/25/2026 00:40:18,N,CVC_CVCG1_5,       27.17
06/25/2026 00:40:18,N,CVC_CVC_G2,       27.17
06/25/2026 00:40:18,N,CVC_CVC_G3,       27.17
06/25/2026 00:40:18,N,DAG_ALL,       27.08
06/25/2026 00:40:18,N,DANSBY_ALL,       27.27
06/25/2026 00:40:18,N,DAN_ALL,       27.04
06/25/2026 00:40:18,N,DA_BESS,       27.08
06/25/2026 00:40:18,N,DA_BESS2,       27.08
06/25/2026 00:40:18,N,DC2SES_ALL,       27.51
06/25/2026 00:40:18,N,DC_E,       27.52
06/25/2026 00:40:18,N,DC_L,       21.25
06/25/2026 00:40:18,N,DC_N,       27.75
06/25/2026 00:40:18,N,DC_R,       24.44
06/25/2026 00:40:18,N,DDPEC_CC1,       27.15
06/25/2026 00:40:18,N,DDPEC_GT1,       27.15
06/25/2026 00:40:18,N,DDPEC_GT2,       27.15
06/25/2026 00:40:18,N,DDPEC_GT3,       27.15
06/25/2026 00:40:18,N,DDPEC_GT4,       27.15
06/25/2026 00:40:18,N,DDPEC_GT6,       27.15
06/25/2026 00:40:18,N,DDPEC_ST1,       27.15
06/25/2026 00:40:18,N,DECKER_GT,       27.13
06/25/2026 00:40:18,N,DENISON_G1_2,       27.53
06/25/2026 00:40:18,N,DERMOTT_ALL,       27.95
06/25/2026 00:40:18,N,DESN_ESS_RN,       27.08
06/25/2026 00:40:18,N,DGFS_ESR_RN,       31.98
06/25/2026 00:40:18,N,DIBOL_RN,       27.45
06/25/2026 00:40:18,N,DIB_CC1,       27.15
06/25/2026 00:40:18,N,DIB_DIB_G1,       27.15
06/25/2026 00:40:18,N,DIB_DIB_G2,       27.15
06/25/2026 00:40:18,N,DIB_DIB_G3,       27.15
06/25/2026 00:40:18,N,DIB_DIB_G4,       27.15
06/25/2026 00:40:18,N,DIB_PUN1,       27.15
06/25/2026 00:40:18,N,DIB_PUN2,       27.15
