settlement_point,lat,lon
K2_DGR2_RN,29.531649,-98.424157
KEG_RN,26.1957,-98.2384
KINGE_ALL,31.2092,-102.2417
KINGW_ALL,31.2092,-102.2417
KMCHI_CC1,34.6834,-95.9334
KMCHI_CC2,34.6834,-95.9334
KNAPP_RN,32.691609,-101.052376
L_FRE_ESR_RN,26.074676,-97.52318
LANTANA_RN,27.811833,-97.468555
LAUR_BESS_RN,26.122657,-97.54733
LEAKEY_RN,29.7449,-99.7618
LK_RN,29.4521,-95.3083
LMWD_SLR_RN,31.1294,-97.2614
LUCKYBLU_RN,32.139788,-98.270814
LYNX_ESS_RN,27.73095,-97.731781
LYSSY_RN,28.895445,-98.119318
MASSENGL_G6,33.6039,-101.8408
MASSENGL_G7,33.6039,-101.8408
MASSENGL_G8,33.6039,-101.8408
MDWPK_RN,31.9152,-102.3738
MEDILA_RN,29.612655,-98.933207
MEDINA1_RN,29.6127,-98.9351
MIDP_SLR_RN,32.116,-97.3435
MLB_SLR_RN,33.220948,-99.591321
MLSES_UNIT1,32.2606,-94.570514
MLSES_UNIT2,32.2606,-94.570514
MLSES_UNIT3,32.2606,-94.570514
MNWL_BESS_RN,32.798754,-98.06497
MROW_SLR_RN,28.947973,-99.06719
MUSTNGCK_ALL,29.109445,-96.531291
MV_VALV4_RN,26.2341,-98.07985
MYR_ALL,29.2285,-95.4274
MYRY_BES2_RN,26.232466,-97.82317
MYRY_ESR_RN,26.232466,-97.82317
NACPW_UNIT1,31.832132,-94.90064
NCARBID_PUN1,28.51035,-96.77025
NCARBID_PUN2,28.51035,-96.77025
NCO_RN,29.15923,-95.6626
NED_NEDIN_G1,26.3403,-98.19
NED_NEDIN_G2,26.3403,-98.19
NED_NEDIN_G3,26.3403,-98.19
NEDIN_CC1,26.3403,-98.19
NEDIN_RN,26.3403,-98.199
NF_BRP_RN,30.748955,-97.87571
NFAL_RN,31.7648,-102.3842
NHKY_SLR_RN,31.5906,-97.1542
NWF_NWF1,31.995,-102.8283
OGSES_1,31.1803,-96.4866
OGSES_2,31.1803,-96.4866
OLMITO_RN,26.001653,-97.519946
OLNEYTN_AGR1,33.371086,-98.72047
OR_BESS_RN,29.5427,-95.9584
OYST_SLR_RN,32.184552,-96.911736
P2_DGR1_RN,29.358691,-98.409462
P2_DGR2_RN,29.358691,-98.409462
PAD1_ESS_RN,29.337978,-98.323348
PAD2_ESS_RN,29.338196,-98.324722
PALE_ESS_EN,33.89704,-101.814038
PALMVIEW_RN,26.2337,-98.3695
PDRA_SLR_RN,31.2928,-102.6155
PHO_ALL,29.1913,-95.9675
PIN_BESS_RN,28.04268,-97.440823
PINEFRST_RN,33.1008,-95.3923
PINN_SLR_RN,33.040388,-98.333919
PLATINUM_RN,33.613157,-96.370282
POTEETS_RN,29.038631,-98.60988
PPEC_RN,31.894045,-96.110545
PRCRK_RN,32.776827,-96.663318
PSG_CC1,29.72475,-95.17648
PSG_PSG_GT2,29.72475,-95.17648
PSG_PSG_GT3,29.72475,-95.17648
PSG_PSG_ST1,29.72475,-95.17648
PTLBES_BESS1,28.58673,-96.68376
PYOTE_RN,31.5457,-103.1238
Q1_DGR1_RN,29.238708,-98.429586
QUEEN_BA_RN,31.207803,-102.181677
QUEEN_SL_RN,31.207803,-102.181677
RHESS2_ESS1,30.587828,-97.68702
RN_BY_ESR1,29.7658,-95.3677
RN_BYU_G8,29.7286,-94.987
RN_PAD3_ESS,29.337741,-98.324269
RN_QTUM_SLR,33.010509,-99.563468
RN_RHN_ESR,29.7852,-95.1584
RN_SOLC_SLR,31.8236,-102.3629
ROSELAND_ALL,31.46124,-96.82493
RVN_RN,31.9124,-102.3047
SADLBCK_AGR1,31.332883,-103.4984
SAH_RN,29.4521,-95.3083
SCLP_PUN1,29.0728,-95.745
SCLP_PUN2,29.0728,-95.745
SCLP_PUN3,29.0728,-95.745
SCLP_PUN4,29.0728,-95.745
SCLP_SCLPC_1,29.0728,-95.745
SCLP_SCLPC_2,29.0728,-95.745
SCLP_SCLPC_3,29.0728,-95.745
SCLP_SCLPC_4,29.0728,-95.745
SE_EDINB_RN,26.288083,-98.14503
SHAW_SLR_RN,29.756102,-99.095694
SLCN_ESS_ALL,30.41217,-97.57405
SLK_BESS_RN,31.193467,-102.313626
SROSA_ESR_RN,26.232466,-97.823173
STADIUM_RN,27.746453,-98.054211
STAGHORN_RN,31.4286,-103.1114
STAM_SLR_ALL,33.225648,-95.313102
SWFT_SLR_RN,31.768836,-102.696506
SWOOSE1_U1,31.45115,-103.0962
SYBR_SLR_RN,30.879235,-97.192318
T_CK_GT2_RN,33.521369,-101.791035
T_CK_GT3_RN,33.521055,-101.790825
TC_GTG2_RN,29.703454,-95.39832
TC_PUN1,29.703454,-95.39832
TC_PUN2,29.703454,-95.39832
THREEW_S_RN,32.018691,-97.211742
TMPP_RN3,29.4238,-98.4936
TMPP_RN4,29.4238,-98.4936
TNFS_RN,33.20301,-98.37242
TNG_RN,29.153948,-95.375416
TORT_ESS_RN,29.432576,-95.250517
TROJ_SLR_RN,32.139157,-97.059699
TRSES_UNIT6,32.1245,-96.1013
TSECA_ES_RN,29.373114,-100.851086
TUL_SLR_ALL,28.625947,-97.707352
ULYS_SLR_RN,31.8695,-100.547
UTOPIA_RN,29.645469,-99.523255
