week,hist_days,coverage,total_mass,novel_mass,n_novel_keys,post_rtcb,mass_warmstartable,mass_seen_unfitted,mass_new,share_warmstartable,share_seen_unfitted,share_new,n_warmstartable,n_seen_unfitted,n_new,coverage_ceiling,ceiling_lift,mean_age_days,age_0_30,age_30_90,age_90_180,age_gt180
2025-11-07,455,0.8335637741188218,199423.61,33191.312999999995,315,False,1534.0929999999998,19122.945999999996,12534.273999999998,0.04621971417641719,0.5761431010577979,0.37763718476578495,37,154,124,0.8412564089076514,0.007692634788829644,77.29604919649593,0.21340622765373418,0.5196392917508913,0.22645498023913802,0.040499500356236555
2025-11-14,462,0.7918319081684148,178395.962,37136.346999999994,179,False,2115.1099999999997,29900.810999999987,5120.4259999999995,0.05695525195302597,0.8051629580044584,0.1378817900425155,15,116,48,0.8036881742872634,0.011856266118848602,133.94450075882577,0.012503841407775483,0.04002108637375835,0.8681364089810932,0.07933866323737299
2025-11-21,469,0.8476858505882524,140844.039,21452.54,146,False,1531.6790000000003,12391.846999999998,7529.014000000001,0.07139849174037201,0.5776400836451067,0.3509614246145212,21,85,40,0.8585608511269689,0.010875000538716484,142.77796000336886,0.08178737189711419,0.1263228130698403,0.18162813487682467,0.6102616801562206
2025-11-28,476,0.778518869104088,214582.79,47526.039000000004,165,False,6104.543000000001,31440.629000000004,9980.867,0.12844628183720508,0.661545326762872,0.2100083913999229,28,87,50,0.8069672968647672,0.02844842776067924,233.21158307837294,0.0004783322846607843,0.02074733522230902,0.03231101820398349,0.9464633142890467
2025-12-05,483,0.9141331189603994,158273.71200000003,13590.470000000001,179,True,2053.226,8214.725,3322.5190000000002,0.15107836594319402,0.604447454723788,0.2444741793330179,25,89,65,0.927105747036501,0.012972628076101556,106.19714439618434,0.013316118147734346,0.4930105112637381,0.3190603469856704,0.17461302360285713
2025-12-12,490,0.8939137863221402,145567.48200000002,15442.703000000001,146,True,769.1450000000001,9198.619,5474.939000000001,0.049806371332790644,0.5956611999855207,0.3545324286816887,17,77,52,0.8991975556738695,0.0052837693517292506,127.44189197095476,0.004472498683603221,0.4528300905550969,0.32609845997828757,0.21659895078301228
2025-12-19,497,0.9270141180195464,109413.85899999998,7985.667,125,True,1344.5810000000001,5827.483000000001,813.603,0.16837428858478573,0.7297428004448471,0.10188291097036728,24,69,32,0.9393030639747383,0.012288945955191921,214.43575954144822,0.02385129642617291,0.021269079363757184,0.009845446276572403,0.9450341779334975
2025-12-26,504,0.9202072291783228,110473.053,8814.951000000001,126,True,4408.844000000001,3585.868,820.239,0.5001552476014899,0.40679386646618904,0.09305088593232111,22,71,33,0.9601160022254477,0.039908773047124924,92.85912860604728,0.0013756440463758752,0.8009013247009873,0.14092696407493663,0.056796067177700076
2026-01-02,511,0.9707352890438455,95212.285,2786.36,142,True,355.902,1963.287,467.17100000000005,0.12773008512898548,0.7046063681649176,0.16766354670609684,12,92,38,0.9744732730655503,0.0037379840217047766,198.08289641530536,0.020646132924231956,0.009185112755758609,0.3857185404971032,0.5844502138229063
2026-01-09,518,0.8978779512463565,184166.174,18807.426999999996,173,True,6188.6630000000005,6929.9980000000005,5688.766,0.3290542082125323,0.36847134911117835,0.3024744426762896,26,94,53,0.9314816411400283,0.033603689893671795,82.53556866806287,0.20020156211446638,0.0656505290399558,0.663627830437689,0.07052007840788875
2026-01-16,525,0.7673892520848901,162580.871,37818.058000000005,194,True,16886.539000000004,10537.571,10393.948,0.4465205220215169,0.27863860698505455,0.2748408709934286,31,113,50,0.8712547246717605,0.1038654725868704,134.65484111338623,0.00498989165275371,0.10268054336060217,0.7526635860669851,0.13966597891965904
2026-01-23,532,0.8622440950960667,788790.521,108660.552,143,True,47783.266,46362.75199999999,14514.534000000001,0.43974805134433703,0.4266751010062971,0.13357684764936592,38,74,31,0.9228219858387472,0.060577890742680496,148.345438714884,0.0015317077740144428,0.02712347037977689,0.7190950279539284,0.25224979389228014
2026-01-30,539,0.9255839005232025,111583.005,8303.571999999998,181,True,2304.9770000000003,4421.766,1576.8290000000002,0.27758860885411735,0.5325137181926044,0.18989767295327847,42,101,38,0.9462409620533163,0.02065706153011382,235.5511022452719,0.034815531781878954,0.0032234594965589677,0.15045312816570403,0.8115078805558581
