settlement_point,sp_type,lat,lon
CBY_CBY_G2,OTHER,29.75,-94.9256
CCEC_CC1,PCCRN,27.8139,-97.4283
CCEC_GT1,OTHER,27.8139,-97.4283
CCEC_GT2,OTHER,27.8139,-97.4283
CCEC_PUN1,PUN,27.8139,-97.4283
CCEC_PUN2,PUN,27.8139,-97.4283
CCEC_ST1,OTHER,27.8139,-97.4283
CDRVLE_U1_RN,RN,32.1417,-97.3924
CEDROHI_CHW1,OTHER,27.576111,-98.905278
CEDRVALE_RN,RN,31.397,-103.419
CFLATS_UNIT,OTHER,31.112474,-100.028142
CFLAT_ES_RN,RN,31.7786,-102.4365
CHALUP_ALL,OTHER,26.249888,-97.511842
CHAL_SLR_RN,RN,31.815992,-104.085297
CHAMON_UN1,OTHER,29.883214,-95.111345
CHAMON_UN2,OTHER,29.883214,-95.111345
CHAR_SLR_RN,RN,28.4668,-97.1053
CHEDPW_GT2,OTHER,29.7189,-95.2319
CHE_CC1,PCCRN,29.7189,-95.2319
CHE_LYD,OTHER,29.7189,-95.2319
CHE_LYD2,OTHER,29.7189,-95.2319
CHE_PUN1,PUN,29.7189,-95.2319
CHE_PUN2,PUN,29.7189,-95.2319
CHIL_SLR,OTHER,31.006,-97.262
CHISMGRD_RN,RN,32.904444,-97.386111
CISC_RN,RN,32.391533,-98.978156
CITRUSCY_RN,RN,26.32162,-98.35149
CITYVICT_ALL,OTHER,28.7853,-97.0093
CLO_RN,RN,29.646811,-95.450539
CLT_RN,RN,29.646811,-95.450539
CMPD_SLR_RN,RN,33.4574,-97.2896
CNLY_ESS_RN,RN,33.210732,-97.418986
CNTRY_RN,RN,32.68657,-97.083253
CNTYRDS_RN,RN,31.2406,-103.066
CN_BRKS_UNT1,OTHER,35.200164,-102.315517
COL_COLETOG1,OTHER,28.7128,-97.2144
CONIGLIO_RN,RN,33.404486,-96.082472
CONTINEN_RN,RN,26.514848,-98.609398
CORALSLR_ALL,OTHER,31.45,-96.86
CORAZON_RN,RN,27.634677,-99.258329
COTPLNS_RN,RN,34.060333,-101.187628
COTTON_PAP2,OTHER,27.9958,-97.2967
COTULLA_RN,RN,28.4372,-99.2336
COYANOSA_RN,RN,31.2472,-103.0555
COYOTSPR_AGR,OTHER,32.8381,-100.877
COYOTSPR_RN,RN,32.8381,-100.877
CPSES_UNIT1,OTHER,32.298365,-97.785515
CPSES_UNIT2,OTHER,32.298365,-97.785515
CRANELL_ALL,OTHER,28.197778,-97.444953
CRAWFISH_RN,RN,29.0919,-96.09
CROSSETT_ALL,OTHER,31.191687,-102.317227
CROSSTRL_RN,RN,32.745,-100.757
CRWN_SLR_UN1,OTHER,31.346717,-97.082774
CR_RN,RN,29.77682,-95.37989
CSC_CSECG1_2,OTHER,32.7204,-100.9952
CST1_SLR_RN,RN,32.7812,-100.0065
CST2_SLR_RN,RN,32.7949,-99.9929
CS_RN,RN,29.872984,-95.016033
CTW_RN,RN,29.2631,-95.258
CVC_CC1,PCCRN,29.836952,-95.121744
CVC_CVCG1_5,OTHER,29.836952,-95.121744
CVC_CVC_G2,OTHER,29.836952,-95.121744
CVC_CVC_G3,OTHER,29.836952,-95.121744
DAG_ALL,OTHER,29.1779,-95.7612
DANSBY_ALL,OTHER,30.7217,-96.4608
DAN_ALL,OTHER,29.0136,-96.2205
DA_BESS,OTHER,29.2786,-95.7461
DA_BESS2,OTHER,29.2786,-95.7461
DC2SES_ALL,OTHER,32.403056,-97.700556
DDPEC_CC1,PCCRN,29.713414,-95.134508
DDPEC_GT1,OTHER,29.713414,-95.134508
DDPEC_GT2,OTHER,29.713414,-95.134508
DDPEC_GT3,OTHER,29.713414,-95.134508
DDPEC_GT4,OTHER,29.713414,-95.134508
DDPEC_GT6,OTHER,29.713414,-95.134508
DDPEC_ST1,OTHER,29.713414,-95.134508
DECKER_GT,OTHER,30.3033,-97.6128
DENISON_G1_2,OTHER,33.8181,-96.5692
DERMOTT_ALL,OTHER,32.863769,-100.975128
DESN_ESS_RN,RN,29.0389,-95.6986
DGFS_ESR_RN,RN,30.918661,-102.85002
DIBOL_RN,RN,31.193794,-94.798183
DIB_CC1,PCCRN,29.7314,-95.0839
DIB_DIB_G1,OTHER,29.7314,-95.0839
DIB_DIB_G2,OTHER,29.7314,-95.0839
DIB_DIB_G3,OTHER,29.7314,-95.0839
DIB_DIB_G4,OTHER,29.7314,-95.0839
DIB_PUN1,PUN,29.7314,-95.0839
DIB_PUN2,PUN,29.7314,-95.0839
DILEOS_UNIT1,OTHER,31.78,-97.51
DIVR_SLR_RN,RN,31.25,-96.39
DKNS_ESS_RN,RN,33.6174,-100.7748
DMA_RN,RN,29.1705,-95.7415
DORA_SLR_RN,RN,32.4382,-99.1576
DOWGEN_PUN1,PUN,28.991289,-95.407481
DOWGEN_PUN2,PUN,28.991289,-95.407481
DOWGEN_PUN3,PUN,28.991289,-95.407481
DOWGEN_PUN4,PUN,28.991289,-95.407481
DOWGEN_PUN5,PUN,28.991289,-95.407481
DOWGEN_PUN6,PUN,28.991289,-95.407481
DOW_61_2_63,OTHER,28.991289,-95.407481
DOW_64,OTHER,28.9928,-95.3656
DOW_81_2_84,OTHER,30.0552,-93.7579
DOW_G37_G35,OTHER,28.9928,-95.3656
DOW_G66_ST65,OTHER,28.991289,-95.407481
DOW_G67,OTHER,28.991289,-95.407481
DOW_G96_ST95,OTHER,30.0552,-93.7579
DRAK_ESS_RN,RN,32.7796,-96.8045
DRCK_SLR_RN,RN,32.2123,-94.7363
DRYFRIO_RN,RN,29.291845,-99.612368
DSWL_BES1,OTHER,32.452281,-97.072628
DUKE_CC1,PCCRN,26.34172,-98.175759
DUKE_GST1CCU,OTHER,26.34172,-98.175759
DUKE_GT2_CCU,OTHER,26.34172,-98.175759
DUP_PUN1,PUN,29.7385,-95.2747
DUP_PUN2,PUN,29.7385,-95.2747
DUP_PUN3,PUN,29.7385,-95.2747
DUP_PUN4,PUN,29.7385,-95.2747
EBELLS_UNIT1,OTHER,31.029,-96.9348
EBNY_ESS_RN,RN,29.620088,-98.334481
ECLIPSE_UN1,OTHER,29.33,-100.39
EIFSLR_UNIT1,OTHER,33.599167,-95.525056
ELB_ELBCREEK,OTHER,32.1325,-101.416
ELECTRAW_1_2,OTHER,34.102943,-99.118746
ELMCRK_RN,RN,32.4575,-99.7898
ELM_ST_RN,RN,31.4359,-103.4979
ELM_ST_RN2,RN,31.422461,-103.5091
ELSAUZ_ALL,OTHER,26.500883,-97.599064
ELSA_ESR_RN,RN,26.296101,-98.0096
ELS_RN_1,OTHER,32.467194,-97.054333
ELZA_SLR_RN,RN,32.8196,-96.1848
EL_RAYO_ALL,OTHER,26.364153,-97.780439
EMPCT_RN,RN,32.8133,-96.8524
ENDPARK_ESS1,OTHER,32.5298,-97.0845
ERKA_SLR_RN,RN,32.5367,-96.2211
ERSL_RN,RN,28.883196,-99.178605
ESCONDID_ESR,OTHER,28.7307,-100.4746
ESTONIAN_ALL,OTHER,33.4571,-95.6679
ETCCS_CC1,PCCRN,32.32,-96.675
ETCCS_CCU,OTHER,32.32,-96.675
EUNICE_ALL,OTHER,32.1164,-102.5283
EVLN_ESS_RN,RN,29.488956,-95.036514
EXGNSND_RN,RN,27.18,-98.916667
EXGNWTL_1,OTHER,27.488056,-99.005278
EXN_14,OTHER,29.7355,-94.9774
EXN_1_3,OTHER,29.7355,-94.9774
EXN_4,OTHER,29.7355,-94.9774
EXN_8,OTHER,29.7355,-94.9774
EXN_9_13,OTHER,29.7355,-94.9774
EXN_PUN1,PUN,29.7355,-94.9774
EXN_PUN2,PUN,29.7355,-94.9774
EXN_PUN3,PUN,29.7355,-94.9774
E_BLACK_RN,RN,30.4214,-97.4614
E_HARRIS_RN,RN,29.76,-95.36
FAGUSSLR_RN,RN,34.350994,-100.049306
FALFUR_RN,RN,27.242427,-98.140545
FALFUR_RN2,RN,27.242427,-98.140545
FAL_FALCONG1,OTHER,26.5575,-99.1642
FAL_FALCONG2,OTHER,26.5575,-99.1642
FAL_FALCONG3,OTHER,26.5575,-99.1642
FAULKNER_RN,RN,31.262381,-103.794852
FEGC_RN,RN,29.647267,-95.451516
FENCESLR_ALL,OTHER,32.0728,-96.224
FERD_ESS_RN,RN,29.4241,-98.4936
FERGCC_CC1,PCCRN,30.558,-98.3721
FERGCC_GT1_1,OTHER,30.558,-98.3721
FERGCC_GT2_3,OTHER,30.558,-98.3721
FERGCC_ST1_5,OTHER,30.558,-98.3721
FERMI_ALL,OTHER,29.72753,-100.79431
FILESSLR_PV1,OTHER,32.18398,-97.07141
FIVEWSLR_ALL,OTHER,30.9986,-97.259
FLCNS_UNIT1,OTHER,32.273178,-101.422386
FLCNS_UNIT2,OTHER,32.273178,-101.422386
FLCNS_UNIT3,OTHER,32.273178,-101.422386
FLOWERII_RN,RN,31.197285,-103.361771
FLTBES1,OTHER,31.19791,-103.36067
FLTCK_SSI,OTHER,32.338659,-98.476051
FLUVANNA_1_2,OTHER,32.875073,-101.208955
FLVABES1_ESR,OTHER,31.197283,-103.3618
FOARDCTY_ALL,OTHER,33.915315,-99.740278
FORMOSA_CC1,PCCRN,28.6917,-96.5417
FORMOSA_CC2,PCCRN,28.6917,-96.5417
FORMOSA_PUN1,PUN,28.6917,-96.5417
FORMOSA_PUN2,PUN,28.6917,-96.5417
FORTMA_RN,RN,30.738452,-99.232484
FOXTROT_ALL,OTHER,28.621959,-97.937625
FO_FORMOSA11,OTHER,28.6917,-96.5417
FO_FORMOSA12,OTHER,28.6917,-96.5417
FO_FORMOSG1,OTHER,28.6917,-96.5417
FO_FORMOSG10,OTHER,28.6917,-96.5417
FO_FORMOSG13,OTHER,28.6917,-96.5417
FO_FORMOSG14,OTHER,28.6917,-96.5417
FO_FORMOSG15,OTHER,28.6917,-96.5417
FO_FORMOSG2,OTHER,28.6917,-96.5417
FO_FORMOSG3,OTHER,28.6917,-96.5417
FO_FORMOSG4,OTHER,28.6917,-96.5417
FO_FORMOSG5,OTHER,28.6917,-96.5417
FO_FORMOSG6,OTHER,28.6917,-96.5417
FO_FORMOSG7,OTHER,28.6917,-96.5417
FO_FORMOSG8,OTHER,28.6917,-96.5417
FO_FORMOSG9,OTHER,28.6917,-96.5417
FPPYD_FPP_G1,OTHER,29.9219,-96.7531
FPPYD_FPP_G2,OTHER,29.9219,-96.7531
FPPYD_FPP_G3,OTHER,29.9219,-96.7531
FREC_1_CCU,OTHER,31.8907,-96.1131
FREC_2_CCU,OTHER,31.8907,-96.1131
FREC_CC1,PCCRN,31.8907,-96.1131
FREC_CC2,PCCRN,31.8907,-96.1131
FRMRSVLW_RN,RN,33.158,-96.402
FRMR_BS2_RN1,RN,28.9487,-99.7741
FRNYPP_1_CCU,OTHER,32.7563,-96.4916
FRNYPP_2_CCU,OTHER,32.7563,-96.4916
FRNYPP_CC1,PCCRN,32.7563,-96.4916
FRNYPP_CC2,PCCRN,32.7563,-96.4916
FRONT_EC_CC1,PCCRN,26.208,-98.3992
FRONT_EC_RN1,RN,26.208,-98.3992
FRONT_EC_RN2,RN,26.208,-98.3992
FRONT_EC_RN3,RN,26.208,-98.3992
FRYE_SLR_ALL,OTHER,34.4067,-101.59661
FTDUNCAN_RN,RN,28.69954,-100.40353
FTR_CC1,PCCRN,30.5924,-95.9178
FTR_FTR_G1_4,OTHER,30.5924,-95.9178
FTWIND_UNIT1,OTHER,31.684511,-98.603358
FWLR_SLR_1,OTHER,31.254361,-102.31165
GAIA_SLR_RN,RN,31.7843,-98.9416
GALO_RN1,RN,31.435932,-99.796613
GAMBIT_RN,RN,29.16801,-95.445062
GARC_BESS_RN,RN,26.1806,-98.2453
GBY_GT,OTHER,29.822201,-95.219429
GID_GIDEONG1,OTHER,30.1456,-97.2708
GID_GIDEONG2,OTHER,30.1456,-97.2708
GID_GIDEONG3,OTHER,30.1456,-97.2708
GIGA_ESS_RN,RN,30.228276,-97.618833
GKS_BESS_RN,RN,26.104286,-98.171881
GOA_GOATWIND,OTHER,31.951944,-100.791389
GODY_SLR_RN,RN,31.6998,-102.7542
GOLINDA_UN1,OTHER,31.346717,-97.082774
GOMZ_RN,RN,31.036537,-103.024156
GOODNIT1_ALL,OTHER,35.093889,-101.326111
GOODWIN_ESR,OTHER,26.247029,-98.451671
GPASTURE_ALL,OTHER,33.628222,-99.411169
GRANDVW1_A_B,OTHER,35.238333,-101.310833
GRAN_SLR_RN,RN,30.599817,-97.154753
GRDNE_ESR_RN,RN,31.867209,-101.469373
GREASWOD_ALL,OTHER,31.030996,-102.488209
GREGORY_RN,RN,27.921403,-97.309414
GRIF_TRL_RN,RN,33.609313,-99.58229
GRIM_SLR_RN,RN,30.6512,-96.0913
GRND_SLR_RN,RN,31.2359,-102.1229
GRSES_UNIT1,OTHER,33.1344,-98.6117
GRSES_UNIT2,OTHER,33.1344,-98.6117
GRYH_SLR_RN,RN,31.7405,-102.5923
GUADG_CC1,PCCRN,29.6244,-98.1419
GUADG_CC2,PCCRN,29.6244,-98.1419
GUADG_CCU1,OTHER,29.6244,-98.1419
GUADG_CCU2,OTHER,29.6244,-98.1419
GUNMTN_NODE,OTHER,32.240278,-101.473611
GWEC_G1,OTHER,31.383333,-98.466667
GZ_RN,RN,29.9624,-95.44201
HALO_RN1,RN,30.960219,-97.12452
HAMI_BESS_RN,RN,29.376438,-100.848513
HARLIN_1_RN,RN,26.206111,-97.70842
HART_WND_RN,RN,34.378546,-102.053717
HAYSEN1_2,OTHER,29.7806,-97.9894
HAYSEN3_4,OTHER,29.7806,-97.9894
HDNLAKES_RN,RN,0,0
HEADCAMP_RN,RN,30.916,-102.8553
HEARN_RD_RN,RN,27.849367,-97.61106
HELIOS_RN,RN,29.216667,-99.716111
HEN_RN,RN,29.4821,-95.6199
HHGT_KENDAL,OTHER,32.214024,-100.05712
HHOLLW2_WND1,OTHER,32.214024,-100.05712
HHOLLW3_WND1,OTHER,32.214024,-100.05712
HHOLLW4_WND1,OTHER,32.214024,-100.05712
HICK_G1_G2,OTHER,31.181377,-101.318787
HI_LONEB_RN1,RN,31.171652,-101.881147
HI_LONE_ALL,OTHER,31.0612,-101.898
HKSN_SLR_ALL,OTHER,31.819958,-97.517494
HLSES_UNIT3,OTHER,32.7283,-97.2192
HLSES_UNIT4,OTHER,32.7283,-97.2192
HLSES_UNIT5,OTHER,32.7283,-97.2192
HLY_RN,RN,29.87404,-95.018244
HMNG_ESS_RN,RN,32.4041,-97.2916
HNY_COMB_RN,RN,32.4715,-95.8852
HOLCOMB_RN1,RN,28.03534,-99.361732
HOLSTEIN_ALL,OTHER,32.104125,-100.162375
HOLZ_SLR_RN,RN,31.883,-102.1873
HOL_ALL,OTHER,29.159228,-96.141572
HONEY_WD_RN,RN,32.6256,-99.4928
HOPKNSLR_ALL,OTHER,33.21732,-95.4621
HORSCR_RN,RN,31.09331,-102.35964
HORSECRK_RN,RN,33.35,-99.54
HOUSEMTN_RN,RN,30.495668,-103.450965
HOVEY_GEN,OTHER,30.96,-103.35
HRBESS_BESS,OTHER,31.031247,-103.46256
HRFDWIND_ALL,OTHER,34.748056,-102.174444
HRMS_SLR_RN,RN,30.989842,-97.14982
HRNT_SLR_RN,RN,34.485162,-101.971401
HRZN_SLR_UN1,OTHER,28.9377,-99.10765
HV_BESS1_RN,RN,29.9096,-95.4236
HWF_HWFG1,OTHER,32.7683,-99.4228
HWY6_RN,RN,30.6,-96.3
HYDR_ESS_RN,RN,33.6211,-100.7725
H_HOLLO_WND1,OTHER,32.214024,-100.05712
IMP_RN1,RN,33.467803,-95.370856
INDNENR_1_RN,RN,30.9178,-102.0867
INDNENR_2_RN,RN,30.9178,-102.0867
INDNNWP_RN,RN,30.931467,-102.201433
IND_INADALE1,OTHER,32.4969,-100.5797
INGLCOSW_CC1,PCCRN,27.882778,-97.242778
INGLCOSW_STG,OTHER,27.882778,-97.242778
INGLCOS_CTG1,OTHER,27.882778,-97.242778
INGLCOS_CTG2,OTHER,27.882778,-97.242778
INGLCO_PUN1,PUN,27.8233,-97.2058
INGLCO_PUN2,PUN,27.8233,-97.2058
INGLCO_PUN3,PUN,27.8233,-97.2058
INKS_INKS_G1,OTHER,30.731599,-98.385422
INRT_W_ALL,OTHER,33.186882,-99.595332
JACKCNTY_CC1,PCCRN,33.101,-97.9574
JACKCNTY_CT1,OTHER,33.101,-97.9574
JACKCNTY_CT2,OTHER,33.101,-97.9574
JACKCNTY_STG,OTHER,33.101,-97.9574
JADE_SLR_ALL,OTHER,32.901081,-100.982695
JAD_RN,RN,29.848372,-95.016398
JAG_SLR_RN,RN,31.59992,-96.970541
JAR_RN,RN,29.45566,-95.31001
JAY_RN_1,OTHER,29.358425,-95.746388
JCKCNTY2_CC1,PCCRN,33.101,-97.9574
