scenario,ts,regime,zone,model_lmp,ercot_lmp
backbone_2pass,2025-03-22 08,mild_shoulder,north,18.6,18.9
backbone_2pass,2025-03-22 08,mild_shoulder,south,45.0,22.0
backbone_2pass,2025-03-22 08,mild_shoulder,west,683.7,21.9
backbone_2pass,2026-04-20 08,mild_shoulder,houston,28.2,21.7
backbone_2pass,2026-04-20 08,mild_shoulder,north,22.2,17.0
backbone_2pass,2026-04-20 08,mild_shoulder,south,37.5,27.7
backbone_2pass,2026-04-20 08,mild_shoulder,west,568.1,38.1
backbone_2pass,2025-03-03 08,mild_shoulder,houston,28.2,25.0
backbone_2pass,2025-03-03 08,mild_shoulder,north,24.9,22.0
backbone_2pass,2025-03-03 08,mild_shoulder,south,34.4,27.7
backbone_2pass,2025-03-03 08,mild_shoulder,west,604.1,23.8
backbone_2pass,2025-01-20 15,winter_peak,houston,187.2,54.6
backbone_2pass,2025-01-20 15,winter_peak,north,137.9,51.9
backbone_2pass,2025-01-20 15,winter_peak,south,36.8,55.4
backbone_2pass,2025-01-20 15,winter_peak,west,271.4,46.1
backbone_2pass,2025-01-06 14,winter_peak,houston,78.5,21.2
backbone_2pass,2025-01-06 14,winter_peak,north,106.9,24.4
backbone_2pass,2025-01-06 14,winter_peak,south,56.2,17.0
backbone_2pass,2025-01-06 14,winter_peak,west,770.2,26.4
backbone_2pass,2025-01-19 15,winter_peak,houston,31.2,14.8
backbone_2pass,2025-01-19 15,winter_peak,north,28.0,19.1
backbone_2pass,2025-01-19 15,winter_peak,south,32.4,10.8
backbone_2pass,2025-01-19 15,winter_peak,west,945.9,20.5
